12,108,1498838421,1498838885
12,32,1498838430,1498839120
14,141,1498838476,1498839854
156,156,1498838488,1498838563
116,32,1498838526,1498839007
156,147,1498838573,1498838967
143,145,1498838633,1498838903
100,39,1498838674,1498839901
100,39,1498838707,1498839917
65,94,1498838854,1498839178
65,94,1498838859,1498839185
5,42,1498838867,1498839783
142,138,1498838950,1498839233
82,83,1498838971,1498839415
147,138,1498839059,1498840203
138,169,1498839076,1498839374
166,32,1498839083,1498840163
46,158,1498839111,1498840570
46,158,1498839115,1498840572
18,102,1498839175,1498839783
150,184,1498839199,1498839506
142,154,1498839230,1498840172
143,36,1498839252,1498840068
140,143,1498839416,1498839673
142,141,1498839562,1498839910
142,49,1498839607,1498840537
185,155,1498839638,1498839810
32,46,1498839653,1498839978
32,46,1498839693,1498839975
48,60,1498839772,1498840210
107,70,1498839832,1498840072
148,170,1498839964,1498840957
61,61,1498840072,1498840800
107,191,1498840093,1498841830
12,18,1498840119,1498841025
64,48,1498840271,1498840511
165,182,1498840296,1498841828
15,86,1498840299,1498841052
138,163,1498840489,1498841400
134,141,1498840625,1498840913
67,43,1498840646,1498841352
96,66,1498840770,1498841389
170,137,1498840942,1498841248
167,108,1498841065,1498842391
5,108,1498841069,1498842856
161,145,1498841167,1498842138
32,32,1498841184,1498841707
141,183,1498841261,1498841906
143,170,1498841432,1498842044
147,9,1498841467,1498841772
154,167,1498841503,1498841828
92,165,1498841516,1498842189
142,150,1498841590,1498842333
147,154,1498841601,1498842355
143,82,1498841726,1498843391
82,102,1498841763,1498842340
97,106,1498841793,1498842205
169,139,1498841898,1498842329
124,65,1498841900,1498842706
141,138,1498841962,1498845604
137,170,1498841981,1498842315
142,130,1498842022,1498843576
185,141,1498842076,1498842921
141,138,1498842083,1498845611
15,89,1498842166,1498842527
141,138,1498842227,1498845619
64,83,1498842437,1498842889
140,6,1498842447,1498843576
140,6,1498842474,1498843571
83,181,1498842498,1498844106
83,183,1498842498,1498844575
102,113,1498842574,1498843036
135,169,1498842589,1498843018
102,113,1498842638,1498843028
43,41,1498842707,1498845693
138,170,1498842743,1498843005
148,134,1498842862,1498843675
14,138,1498842881,1498844729
14,138,1498842910,1498844735
14,138,1498842938,1498844732
14,138,1498842957,1498844737
65,142,1498842995,1498844258
142,119,1498842992,1498844001
138,185,1498843048,1498844234
36,142,1498843203,1498843766
63,103,1498843331,1498843565
108,5,1498843362,1498844892
11,162,1498843367,1498845653
138,169,1498843486,1498843858
148,185,1498843504,1498844214
82,86,1498843515,1498843773
141,151,1498843538,1498844017
141,151,1498843544,1498844021
141,151,1498843573,1498844007
141,151,1498843586,1498844013
139,184,1498843658,1498844530
138,145,1498843778,1498844464
148,143,1498843796,1498844676
148,143,1498843818,1498844549
40,140,1498843826,1498844991
169,170,1498843847,1498844134
148,177,1498843852,1498844027
169,170,1498843859,1498844131
9,168,1498844126,1498845085
150,142,1498844229,1498844763
108,40,1498844341,1498845142
177,61,1498844446,1498845775
101,166,1498844467,1498846073
137,170,1498844478,1498844960
182,17,1498844652,1498845308
184,189,1498844744,1498845340
66,41,1498844800,1498845317
138,138,1498844881,1498846588
138,138,1498844904,1498846577
138,138,1498844905,1498846583
138,138,1498844912,1498846583
133,182,1498844916,1498845503
140,10,1498844983,1498845787
142,139,1498845016,1498845417
39,108,1498845033,1498845339
156,186,1498845333,1498846346
142,20,1498845363,1498846779
170,138,1498845466,1498845705
143,157,1498845678,1498846207
41,67,1498845771,1498847302
182,125,1498845889,1498848241
140,184,1498846018,1498847073
140,182,1498846188,1498846767
168,174,1498846194,1498846408
138,170,1498846277,1498846519
138,36,1498846377,1498846991
108,118,1498846514,1498848049
138,138,1498846695,1498850996
138,138,1498846705,1498850977
138,138,1498846819,1498850974
138,138,1498846836,1498850973
116,60,1498846926,1498847251
20,107,1498847100,1498848157
168,169,1498847230,1498847356
138,170,1498847495,1498847885
106,173,1498847768,1498852476
141,159,1498847804,1498848330
41,141,1498848212,1498849307
41,157,1498848214,1498849208
41,157,1498848217,1498849205
41,134,1498848232,1498849073
107,66,1498848478,1498849246
6,14,1498848844,1498849324
74,86,1498849212,1498849401
67,59,1498849354,1498851025
67,123,1498849591,1498850933
67,123,1498849594,1498850943
67,90,1498849624,1498850906
159,141,1498849753,1498850153
16,6,1498849978,1498880316
159,139,1498850526,1498850996
14,41,1498850753,1498851307
141,158,1498851005,1498851554
16,43,1498851015,1498851761
185,141,1498852255,1498853627
