80,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,8,7
81,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,10,9
82,State Street at Channel Center,42.344137,-71.052608,10,9
83,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,8,7
84,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,8,7
85,The Lawn on D,42.344792,-71.044024,9,9
86,W Broadway at D St,42.3391085,-71.0514432,9,9
87,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,7,7
88,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,8,7
89,Congress St at Northern Ave,42.34820322,-71.0376513,7,7
90,Savin Hill T Stop - S Sydney St at Bay St,42.310599,-71.053927,7,7
91,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.3515431,-71.04573011,8,7
92,Cambridge St at Joy St,42.361174,-71.065142,8,7
93,New Balance - 20 Guest St,42.357402,-71.147782,8,7
94,Washington St at Waltham St,42.341522,-71.068922,8,7
95,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,14,13
96,Arch St at Franklin St,42.355402,-71.058087,12,11
97,Copley Square - Dartmouth St at Boylston St,42.349673,-71.077303,13,12
98,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,8,7
99,Boylston St at Arlington St,42.35255006,-71.06782079,11,11
100,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,8,7
101,Congress St at North St,42.360613,-71.057452,10,9
102,Cross St at Hanover St,42.362811,-71.056067,9,9
103,Stuart St at Charles St,42.351146,-71.066289,10,9
104,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,10,9
105,Boylston St at Berkeley St,42.350989,-71.073644,8,7
106,Tremont St at West St,42.354979,-71.063348,8,7
107,Chinatown Gate Plaza,42.351356,-71.059367,8,7
108,Charles Circle - Charles St at Cambridge St,42.36062498,-71.07089996,8,7
109,Beacon St at Arlington St,42.355596,-71.07278,8,7
110,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.3475,-71.0441,10,9
111,Boylston St at Washington St,42.352409,-71.062679,8,7
112,Main St at Austin St,42.375603,-71.064608,6,5
113,Warren St at Chelsea St,42.371848,-71.060292,10,9
114,TD Garden - West End Park,42.36588482,-71.06454849,17,17
115,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,10,9
116,Charles st and Beacon St,42.356052,-71.069849,8,7
117,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,10,9
118,Boylston St at Dartmouth St,42.350413,-71.07655,8,7
119,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,8,8
120,Washington St at Brock St,42.34900494,-71.16041064,8,7
121,Oak Square - 615 Washington St,42.35048162,-71.16636693,8,7
122,Curtis Hall - South St at Centre St,42.309054,-71.11543,8,7
123,Hyde Square - Barbara St at Centre St,42.320998,-71.110833,8,7
124,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,8,7
125,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,8,7
126,Jackson Square T Stop,42.32285835,-71.10034391,10,9
127,S Huntington Ave at Heath St,42.3279727,-71.11089706,8,7
128,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,10,9
129,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,8,7
130,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,8,7
131,Brookline Village - Station Street @ MBTA,42.33289074,-71.11658335,8,7
132,Commonwealth Ave At Babcock St,42.3515473,-71.1212625,10,9
133,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,10,9
134,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,10,9
135,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,8,7
136,Kendall T,42.36242784,-71.08495474,12,11
137,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,18,17
138,MIT at Mass Ave / Amherst St,42.3581,-71.093198,14,13
139,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,8,7
140,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,8,7
141,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,10,9
142,Central Square at Mass Ave / Essex St,42.36507,-71.1031,10,9
143,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,9,8
